,0
pantoprazole,-0.044996942038119894
amcasertib,0.03482574443295654
belizatinib,-0.018013474912216308
bexagliflozin,0.01202167304128353
bictegravir,-0.08324688901227856
cenerimod,0.006967043754976886
cenobamate,-0.020570741868436784
evocalcet,-0.07183846922071126
pemafibrate,-0.03346642521482719
sacubitrilat,-0.010134731612276139
sparsentan,-0.060730314580864274
tavilermide,-0.013213485532166343
acebilustat,0.008226470651671708
avacopan,-0.040862637656159294
cefiderocol,-0.03452115384146401
edasalonexent,0.022302836173213034
edonerpic-maleate,-0.012437575839132261
glecaprevir,0.011788425058921335
leniolisib,-0.011832602458436087
nicodicosapent,0.0016482459262625905
tenalisib,0.05726952840929161
zoliflodacin,-0.050373257174102695
omapatrilat,0.0022729742893904544
udenafil,0.04099273566370201
ombrabulin,-0.18963789413539547
LEQ506,-0.030080884301232822
galidesivir,0.0020873504554418873
JD-5037,-0.09641350053185038
dextrorotation-nimorazole-phosphate-ester,0.01972208072471577
cbl0137,0.021085668280150717
selonsertib,-0.09342264233362416
lifirafenib,-0.10049657089224533
CCT245737,-0.05409375976179025
vatinoxan,0.0013170240183481173
TCV-309,0.023330853670057626
PF-06282999,-0.0256354517821624
PIM-447,-0.1398397485192936
ferroquine,0.02739232235073861
esonarimod,0.014626899894560168
roluperidone,-0.03629806802739482
seladelpar,-0.10138480628379982
nemiralisib,0.034567448715678975
upadacitinib,0.07036522262448058
fezolinetant,0.010232642194568153
glesatinib,-0.04150355381253605
tecadenoson,0.03184523631010878
emixustat,-0.02608127069692956
BEBT-908,0.03398173168610271
GSK2981278,-0.019776489777038015
mertansine,-0.19523342778388753
avitinib,0.04939005213733983
elacestrant,-0.0769785033199266
PF-06650833,-0.008709490158287522
AZD5069,-0.040007195975346604
setmelanotide,0.06522805707005143
F-16915,0.031891937990622114
LTX-315,-0.048544338171496074
ASP-9521,-0.0464112813427168
adomeglivant,-0.028871610570182973
acoziborole,0.010666172516844319
MK-1064,0.018872454766566533
BMS-779788,-0.005749025252419613
vaborbactam,-0.009619659750880683
COH29,-0.12832477717313223
TD139,-0.06548235311289526
GDC-0084,-0.043370052275747986
derazantinib,-0.04000097928680366
PF-06459988,-0.013252812647752396
sultopride,0.004817037766097854
trabectedin,1.6704522635033116e-05
furagin,0.061619699200140675
nelociguat,0.06360161027435644
eldecalcitol,-0.10348873457535622
pipofezine,-0.008004904976309417
decloxizine,-0.025321495437188146
felypressin,0.011789751406510328
ceruletide,0.00715701019250519
dalfopristin,-0.019237561060325273
sugammadex,0.027059064409458544
topilutamide,-0.018878645670869783
ginsenoside-RE,0.09498495617929091
hydroxysafflor-yellow-A,-0.025648536689925273
madecassoside,-0.022647694980158378
ingenol,-0.08754211956334733
afamelanotide,-0.006240731834728621
NIM811,0.04259453356993363
argireline,-0.050070376850637255
ornipressin,-0.09219172671308415
sincalide,0.0013623687436591417
iRGD-peptide,-0.013595409195402641
tuftsin,0.00981114709174193
ALX-40-4C,0.012985078784695665
triamcinolone-hexacetonide,-0.02575571348629002
dixyrazine,-0.03532983914716553
JPH203,-0.007673981686621897
ketohexokinase-inhibitor-1,-0.05294659798869561
aticaprant,-0.007144722478330421
VLX1570,0.06118283883218211
