,dir,dep,lineage
ACH-000247,0.8550654449193638,-0.48275846030101516,Esophagus/Stomach
ACH-000947,0.89199187203668,-0.7846559254811241,Ovary/Fallopian Tube
ACH-000807,0.860049064072682,-0.4275439196719859,CNS/Brain
ACH-000476,0.8557484248461568,-0.4730367497070217,Liver
ACH-000525,0.8762940052817952,-0.4512286811961146,Lung
ACH-000853,0.8564536895040172,-0.5399229759800536,Lung
ACH-000479,0.8450156589469429,-0.4676673559819167,CNS/Brain
ACH-001664,0.8834404988264422,-0.667022731466008,Esophagus/Stomach
ACH-002705,0.8309106796591881,-0.5191760945646307,Esophagus/Stomach
ACH-001683,0.8742739414909677,-0.46063312121161054,Breast
ACH-001990,0.8602022323650879,-0.6975892914795607,Skin
ACH-001647,0.8689463214186396,-0.5133834708182625,Myeloid
ACH-002043,0.8580456353627921,-0.4426439601390819,Head and Neck
ACH-001649,0.8373616384989757,-0.37716870383003964,Prostate
ACH-000155,0.8686076562803081,-0.28142081359518706,Pancreas
ACH-000683,0.8656572834347864,-0.3354166255091988,Bowel
ACH-000655,0.8596721068612492,-0.3903955643248794,CNS/Brain
ACH-000145,0.848591887479057,-0.2558395588026969,Soft Tissue
ACH-001495,0.8891362877655571,-0.30632238674552453,Uterus
ACH-000188,0.8499641247216763,-0.34005427822743606,Head and Neck
ACH-000146,0.8600038668716444,-0.39490231389239433,Myeloid
ACH-000415,0.8462821221843557,-0.3661267084550193,Head and Neck
ACH-001518,0.8646507041033409,-0.3025032080136161,Uterus
ACH-001625,0.8657219405418267,-0.25629637461724314,Head and Neck
ACH-000851,0.872344272102216,-0.5314167199004989,Lung
ACH-000824,0.8728951129898637,-0.39419131920182365,Esophagus/Stomach
ACH-000983,0.8699601197474732,-0.581295720326626,Myeloid
ACH-000541,0.8954252899682928,-0.4810220114655567,Lymphoid
ACH-002460,0.8375807193762285,-0.41730837511796215,Skin
ACH-000111,0.8252927303440827,-0.5322851972358839,Breast
ACH-002463,0.8399592220808415,-0.23601098405142384,Eye
ACH-002928,0.8473681104870688,-0.3406655181232023,Skin
ACH-000618,0.8565914781932921,-0.6101896048283493,Head and Neck
ACH-000470,0.8811614927380026,-0.2802828612465448,Bowel
ACH-002039,0.8583789647204457,-0.36858837399132843,Pancreas
ACH-000118,0.8629727580148135,-0.5167841795353991,Pancreas
ACH-000614,0.8612524395503129,-0.5357113480454867,Skin
ACH-001338,0.8759113984202321,-0.5881826426666629,Peripheral Nervous System
ACH-000556,0.8420521035844518,-0.46167173501401976,Cervix
ACH-001804,0.8398917401487366,-0.2680909402567222,Soft Tissue
ACH-001386,0.8655028596645739,-0.45338579738689894,Lung
ACH-001525,0.8623958659626787,-0.4411388641227328,Cervix
ACH-001539,0.8872875966953312,-0.37895721705110796,Lymphoid
ACH-000014,0.8589652728561304,-0.47925407423736927,Skin
ACH-002785,0.8397476740704286,-0.3678580720499636,Soft Tissue
ACH-000637,0.8410273198248105,-0.3230681587679461,Esophagus/Stomach
ACH-002693,0.8619865801977251,-0.43271674868668364,Peripheral Nervous System
ACH-000455,0.8559204253056618,-0.4415717934158843,CNS/Brain
ACH-000389,0.8544615600943868,-0.25500230430540133,CNS/Brain
ACH-002710,0.8386004812246434,-0.29264817513002395,Peripheral Nervous System
ACH-000490,0.8666199210430007,-0.40729621101305047,Cervix
ACH-000434,0.874751650796381,-0.28117222056116437,Lung
ACH-002042,0.8647749964061947,-0.29764577568922457,Head and Neck
ACH-000597,0.8762729760285343,-0.45634948529040437,Soft Tissue
ACH-000756,0.8548099551857196,-0.4092798030095823,CNS/Brain
ACH-000396,0.8632401747876199,-0.33837092496037685,Bladder/Urinary Tract
ACH-000371,0.8858786367268688,-0.561209460954598,Lymphoid
ACH-000265,0.8669799293040449,-0.652672762443421,Pancreas
ACH-000132,0.8426117328167461,-0.41724816264570314,Ovary/Fallopian Tube
ACH-000216,0.8337741106666021,-0.40196150328617136,Esophagus/Stomach
ACH-000855,0.8716220584939663,-0.4707925314870023,Esophagus/Stomach
ACH-000906,0.8739996195902247,-0.5073281236908256,Ovary/Fallopian Tube
